id;start_date;end_date;language
1;2020-06-10T12:41:47;2020-06-10T10:32:02;SPANISH
2;2020-06-09T17:31:58;2020-06-10T12:36:23;SPANISH
3;2020-06-10T08:27:17;2020-06-09T19:01:26;FRENCH
4;2020-06-09T23:44:48;2020-06-10T11:16:14;FRENCH
5;2020-06-10T09:15:06;2020-06-10T14:02:05;FRENCH
6;2020-06-10T03:07:27;2020-06-10T15:15:41;FRENCH
7;2020-06-10T04:52:47;2020-06-09T22:43:38;FRENCH
8;2020-06-10T03:49:00;2020-06-10T14:05:08;SPANISH
9;2020-06-10T02:30:09;2020-06-09T23:11:32;SPANISH
10;2020-06-10T10:42:13;2020-06-09T21:16:43;SPANISH
